#At time x allocated y bytes for process z from i to j
At time 4 allocated 200 bytes for process 1 from 0 to 255
At time 6 allocated 100 bytes for process 2 from 256 to 383
At time 8 freed 100 bytes for process 2 from 256 to 383
At time 9 freed 200 bytes for process 1 from 0 to 255
At time 11 allocated 300 bytes for process 4 from 0 to 511
At time 12 allocated 302 bytes for process 5 from 512 to 1023
At time 13 freed 302 bytes for process 5 from 512 to 1023
At time 13 allocated 500 bytes for process 6 from 512 to 1023
At time 16 freed 500 bytes for process 6 from 512 to 1023
At time 22 freed 300 bytes for process 4 from 0 to 511
At time 23 allocated 300 bytes for process 7 from 0 to 511
At time 25 freed 300 bytes for process 7 from 0 to 511
At time 26 allocated 100 bytes for process 8 from 0 to 127
At time 29 freed 100 bytes for process 8 from 0 to 127
